paragraph_id,original_text,final_climate,language
203079_4,"2016 waren schon 56 Prozent der Ausgaben stark gebunden. Die Möglichkeiten des Parlamentes, selber zu gestalten, wurden also schon erheblich eingeschränkt. Im Jahre 2019, das lässt sich voraussagen, werden es 67 Prozent der Ausgaben sein, die stark gebunden sind und entsprechend den Gestaltungsspielraum des Parlamentes zusätzlich einschränken. Diese Tendenz, Partikularinteressen - und dafür finden sich immer wechselseitige Allianzen - in Fonds zu kleiden, wird sich längerfristig rächen, indem der Gestaltungsspielraum für uns immer kleiner wird.",0,DE
289444_1,"Aktuell bestehen bei diesem Gesetz gegenüber dem Nationalrat noch sieben Differenzen, mit denen sich unsere Kommission auch befasst hat. Vier davon waren in der Kommission weitgehend unbestritten; es handelt sich dabei mehrheitlich um redaktionelle Änderungen. Auf die drei anderen Differenzen werde ich in der Differenzbereinigung jeweils genauer eingehen.",0,DE
278307_2,"Dans un premier temps, la Commission des affaires juridiques a considéré que ce serait une bonne solution sur le principe tout en faisant remarquer la complexité de l'initiative parlementaire qui ne touche pas moins de six dispositions dans quatre textes légaux différents.",0,FR
305035_3,"Der Bedarf wird in den nächsten Jahren zunehmen. Das Schweizerische Gesundheitsobservatorium schätzt den Bedarf beim Pflegefachpersonal auf Tertiärstufe bis im Jahr 2029 auf 43[NB]400 Personen. Um diesen Bedarf zu 100 Prozent mit schweizerischen Abschlüssen zu decken, müssten im Zeitraum von 2019 bis 2029 jedes Jahr durchschnittlich 6900 Abschlüsse erlangt werden, wenn die aktuelle Quote der Berufsaustritte - diese liegt bei 37 Prozent - in den ersten zehn Jahren nach Erwerb eines Abschlusses berücksichtigt wird. Für eine Deckung zu 75 Prozent würden 5175 Abschlüsse benötigt. Einige dieser Zahlen beinhaltet auch die Botschaft. Sie sind ein wichtiges Argument, auf diese Vorlage einzutreten.",0,DE
300752_2,"Nous parlons ici d'augmenter la transparence et le niveau d'information de la population concernant des données qui touchent à la santé publique. Les émissions concernées sont par exemple des oxydes d'azote, des composés organiques ou des poussières fines dangereuses pour la santé. Le fait d'informer ouvertement la population à propos de leur concentration, et notamment du dépassement des normes fixées, me paraît important.",0,FR
270592_5,"Dann sind wir dezidiert der Meinung, dass ein persönliches Erscheinen vor den zuständigen Behörden notwendig ist. Es geht um eine sehr ernsthafte Angelegenheit. Ich erinnere Sie daran, dass man auch beim Beantragen eines Reisepasses persönlich erscheinen muss. Ich sehe das in einer ähnlichen Dimension; die Änderung des Geschlechts im Personenstandsregister lediglich mit einem Brief oder mit einer Mail[NB]zu[NB]erledigen, finden wir den falschen Ansatz. Ich glaube, man sollte das persönliche Erscheinen beibehalten.",0,FR
356464_6,"À l'article 8nbis alinéa 2, la majorité de la commission propose de maintenir la version de notre conseil. Il s'agit du montant de la sanction administrative pour les participants à la réserve qui ne respectent pas leurs engagements. Le plafond de la sanction administrative est fixé à 10 pour cent du chiffre d'affaires annuel, d'après la formulation de notre conseil. La version du Conseil des États, soutenue par une minorité de la commission, vise à se baser plutôt sur le montant de l'indemnisation forfaitaire ou de la rémunération pour la participation à la réserve. La version de notre conseil est plus sévère. Le but de la majorité est de garder une sanction sévère, pour qu'elle soit dissuasive, étant donné l'importance de conserver les réserves pour lesquelles les participants se sont engagés. Cette proposition a été acceptée par 17 voix contre 6. La minorité propose de suivre le Conseil des États.",0,FR
317925_1,"Il n'existe pas de données fiables sur le nombre de personnes qui ont déjà migré dans le passé ou qui migreront à l'avenir pour des raisons liées à des catastrophes naturelles ou en raison de bouleversements liés au changement climatique. A ce propos, une constante a pu cependant être identifiée: la plupart des personnes contraintes de quitter leur lieu de domicile à cause des conséquences de catastrophes naturelles ou en raison de bouleversements liés au changement climatique se déplacent ou se sont déplacées à l'intérieur même des frontières du pays où elles se trouvent.",1,FR
244655_1,"Ce bloc concerne l'article 7a, qui est un élément central de la révision de la loi. Je vous propose, avec ma minorité, de biffer complètement cet article. Nous y étions déjà défavorables avant les travaux de la commission, mais la situation s'est encore péjorée depuis.",0,FR
320602_5,"Y renoncer heurte également le principe du pollueur-payeur qui est inscrit dans la Constitution. Je rappelle que c'est au porteur du projet - c'est d'ailleurs peut-être la raison pour laquelle une proposition est sur la table - de payer pour des mesures qui, je le rappelle, doivent être proportionnées. C'est peut-être l'un des enjeux: alléger encore la situation pour les porteurs de projets, mais au détriment de la collectivité. Je pense qu'on peut vraiment s'appuyer sur l'argument des cantons: les mesures d'accompagnement, de compensation et de remplacement améliorent l'acceptation et l'acceptabilité du projet. Elles permettent également à la population locale de voir leur projet mis en place de manière plus intéressante. A ce titre, c'est aussi une forme de geste qui montre que l'on cherche à avoir une adhésion au projet. Je vous invite donc à suivre les propositions de la Conférence des directrices et des directeurs de l'énergie, ainsi que de celle des travaux publics, de l'aménagement du territoire et de l'environnement, et à rejeter cette proposition du Conseil national, en créant ainsi une divergence.",0,FR
262790_7,"La proposition défendue par la minorité Vogler, qui avait été traitée par la commission dans son ancienne composition, prévoit que seulement un quart de la réduction de 50 pour cent des émissions de CO2 puisse se faire à l'étranger. C'est 12,5 pour cent au plus à l'étranger et au minimum 37,5 pour cent à l'intérieur de la Suisse. Cela signifie qu'avec la proposition de la minorité Vogler, la vitesse de réduction des émissions se situerait entre moins 1,7 pour cent et moins 3 pour cent par année. Moins 1,7 pour cent par année, c'est un peu moins vite que ces dernières années, et moins 3 pour cent, c'est plus vite.",1,FR
291755_1,"Nous avons dans ce bloc quelques propositions qui concernent l'Administration fédérale des contributions. Il y a deux ""philosophies"".",0,FR
331815_2,"Une motion de teneur identique a du reste été également déposée au Conseil national lors de la dernière session d'été. Le Conseil fédéral s'oppose à l'adoption de cette motion en expliquant qu'une étude relative au développement de l'axe Lausanne-Genève a déjà été réalisée en 2020 avec des propositions concrètes pour le doublement de la ligne ferroviaire existante. De plus, le Conseil fédéral prévoit de réaliser une première étape de la nouvelle ligne entre Morges et Perroy, comme nous l'avons décidé il y a quelques minutes.",1,FR
339388_3,"Aussi, le fait de dire que le contexte est différent n'est pas correct. Oui, le contexte est différent par rapport à celui d'il y a quelques années, mais il ne l'est pas par rapport à la fin de l'année 2023. Le SEM savait déjà à quelle situation nous serions confrontés durant l'année 2024, et qu'il y aurait donc davantage de demandes en 2024 qu'il y en a eu durant les années précédentes.",0,FR
320847_2,"Ces deux initiatives s'inscrivent dans le cadre des débats qui ont déjà eu lieu autour, notamment, de la loi sur le climat et l'innovation, et parce que chauffer son logement est une question politique, environnementale et sécuritaire majeure. On peut se réjouir du fait que le Parlement ait pris les choses à bras le corps en acceptant cette loi qui apporterait un soutien appréciable si elle était acceptée en votation populaire le 18 juin prochain.",1,FR
227089_2,"Il vaut la peine de jeter un coup d'oeil au texte actuel. A l'article 7 de la loi sur la surveillance des marchés financiers, qui fait l'objet d'une proposition de minorité de Monsieur Noser, il est prévu, à l'alinéa 2 lettre c, que la FINMA tienne compte ""des différentes activités des assujettis et des risques qu'ils encourent"". Donc, on a une surveillance basée sur le risque - ""eine risikobasierte Überprüfung"". Ce que propose la majorité, c'est de tenir compte, pour l'essentiel, de la taille des banques concernées. La question que l'on doit se poser, c'est s'il y a une corrélation automatique entre le risque et la taille.",0,FR
306130_1,"Wir haben es hier mit einer weiteren Initiative aus der links-grünen Ecke zu tun, auf welche die Schweiz nicht gewartet hat. Die Bevölkerung hat zurzeit andere Probleme als eine Biodiversitätskrise, die es so nicht gibt. Für die Linken ist immer alles gleich eine Krise. Zuerst hatten wir eine Klimakrise, jetzt haben wir eine Biodiversitätskrise. Wir haben, das habe ich auch schon gesagt, keine Energiekrise, sondern eine Stromkrise, aber davon wollen Sie ja nichts wissen.",1,DE
280002_4,"Man kann also gegen ein Verbot eines Produktes sein und mit der gleichen Überzeugung, der gleichen Liberalität dafür sein, dass keine Werbung dafür gemacht werden darf. Nur darum geht es ja hier. Wir sprechen nicht davon, die Tabakprodukte zu verbieten, wir sprechen nicht davon, dass erwachsene Menschen, dass auch junge erwachsene Menschen, sobald sie das nötige Alter haben, nicht mit Rauchen beginnen dürfen. Wir sprechen nur davon, ob ein brutales und sehr gesundheitsschädliches Suchtmittel auch noch mit speziell auf junge Menschen ausgerichteter Werbung beworben werden darf. Um das geht es in Artikel 118, nicht um mehr und nicht um weniger.",0,DE
320797_1,"Un contrat de bail peut être résilié par les deux parties en respectant les termes et délais prévus par la loi. Le bailleur doit annexer un formulaire indiquant aux locataires la possibilité de contester le bail auprès de l'autorité de conciliation, procédure qui est gratuite. En cas de contestation, l'autorité vérifie que le congé n'est pas contraire à la bonne foi. De l'avis de la commission, ce cadre légal est suffisant et protège de manière adéquate les locataires pour les motifs suivants.",0,FR
239359_5,"Pour juguler ce problème, la Commission européenne a adopté une stratégie visant à interdire toutes sortes de produits à base de plastique, des couverts, des assiettes, des bâtonnets mélangeurs, des pailles, des cotons-tiges, pour ne citer que ces exemples.",0,FR
248579_3,"Lassen Sie uns doch diesen Weg gehen, denn die vorliegenden Initiativen sind nicht zielführend, zu radikal und in meinen Augen nichts anderes als eine weitere Geiselnahme der Schweizer Bauern unter dem Regime der Direktzahlungen. Sollen in Zukunft auch die Löhne an die Arbeitnehmer nur noch voll ausbezahlt werden, wenn die Arbeitnehmer nachweisen, dass sie nur pestizidfreie Nahrungsmittel konsumieren und dass sie vor allem in ihren Privatgärten und Rabatten keine Pflanzenschutzmittel mehr einsetzen? Wollen wir in Zukunft auch den Menschen verbieten, im Krankheitsfall die notwendige Medizin einzunehmen? Ich denke, das ist der falsche Weg.",0,DE
248905_4,"Par ailleurs, un contre-projet indirect ne pourrait qu'interférer négativement avec les travaux sur le projet de Politique agricole 2022 plus. C'est dans ce cadre-là que des dispositions doivent être prises pour limiter l'usage de produits antiparasitaires, le projet Politique agricole 2022 plus faisant ainsi office de contre-projet indirect aux initiatives.",0,FR
238154_4,"Venons-en au débat proprement dit et essayons de le résumer en quelques mots sans trop de technicité pour ce débat d'entrée en matière. Le constat que l'activité humaine provoque un réchauffement n'est pas contesté. La minorité qui conteste l'entrée en matière craint que l'activisme suisse n'augmente les domaines d'activité de l'Etat sans réel bénéfice pour le climat. De l'autre côté de l'échiquier politique, on vous propose un renvoi au Conseil fédéral dans le but d'élaborer un projet plus incisif, plus en phase avec l'ampleur des défis.",1,FR
300780_3,"Ohnehin ist es unsicher, ob eine Zentralisierung überhaupt zu dem Ergebnis führen würde, das sich der Motionär erhofft. In vielen Kantonen fliessen bereits heute Umweltanliegen in die Frage der Motorfahrzeugbesteuerung mit ein. Müsste eine einheitliche Regelung geschaffen werden, käme wohl ein Kompromiss zum Zug, und dies hätte dann zur Folge, dass Kantone mit besonders umweltfreundlichen Regelungen gar zurückbuchstabieren müssten - ein Vorgehen, das kaum sinnvoll sein dürfte, umso mehr, als gerade dieses Thema in den Kantonen jeweils breit diskutiert wurde, um zu den heutigen Regelungen zu gelangen. Die Verwaltung hielt etwa fest, dass es in den letzten zwanzig Jahren in verschiedenen Kantonen insgesamt fünfzehn Volksabstimmungen zu Motorfahrzeugsteuern gab. Dies zeigt die breite demokratische Verankerung der bisher geschaffenen Lösungen.",1,DE
206385_7,"Werden infolge einer allfälligen Ablehnung der Energiestrategie die Wasserkraft und die neuen erneuerbaren Energien nicht gestärkt, wird die Schweiz im grossen Stil von Dreckstromimporten abhängig werden. Schon jetzt hängt unsere Energieversorgung zu 65 Prozent von den fossilen Energieträgern Öl und Gas ab. Eine Ablehnung würde dieses fossile Klumpenrisiko verstärken statt reduzieren.",1,FR
308111_3,"Enfin, l'auteure du postulat demande une étude qui se fonde sur la situation pendant la pandémie. Il nous semble que réaliser une étude sur ce sujet, avec les informations dont nous disposons, n'est pas nécessaire aujourd'hui.",0,FR
295518_7,"En janvier-février 2022, de quoi parle-t-on? D'approvisionnement en électricité et de sécurité de l'approvisionnement en électricité. Ces deux motions parlent exactement de ça! ""Vous savez, techniquement, c'est peut-être un peu compliqué"", nous a-t-on dit. Moi, je ne peux que recommander au Conseil national - je ne peux pas faire de reproche à notre chambre, puisque vous avez chaque fois soutenu avec enthousiasme ces deux motions - d'aller voir ce qui se passe dans le milieu industriel, de donner un coup de main à certains collaborateurs de l'administration qui ne sont pas dans la vie économique courante, qui ne voient pas les progrès technologiques qui sont faits entre autres pour récupérer cette énergie électrique d'origine photovoltaïque et la transformer en énergie utilisable. L'énergie du jour, photovoltaïque, on peut la stocker, on sait le faire. D'ailleurs, une grande entreprise de Zurich est active dans ce domaine, une entreprise que je suis allé voir avec un collègue du Conseil national qui fait partie de la commission soeur - Dieu merci, d'autres réfléchissent et vont voir ce qui se passe ailleurs. On constate qu'il y a des investissements qui sont faits dans le nord de l'Europe justement dans le photovoltaïque. Quand on produit de l'énergie, on peut la transformer en vapeur, l'utiliser pour chauffer de l'eau. On peut faire toute une série de transformations pour utiliser l'énergie issue du photovoltaïque de façon intelligente.",1,FR
336228_3,"L'auteur de la motion explique que le maintien des zones de montagne et d'estivage était déjà considéré comme important dans les objectifs de la Politique agricole 2014-2017. Le Conseil fédéral est d'avis que les adaptations alors apportées ont plus que satisfait cet objectif. Dans la Politique agricole 2014-2017, le Conseil fédéral avait déjà fortement augmenté, à partir de 2014, les paiements directs destinés aux régions de montagne et d'estivage. Les exploitations agricoles reçoivent chaque année environ 140 millions de francs de contributions au maintien d'un paysage ouvert et 148 millions de francs de contributions pour les terrains en pente et en forte pente. S'agissant de ces dernières, l'augmentation des montants a été d'environ 30 pour cent par rapport à 2013.",0,FR
359033_1,"Es geht hier um die Grunddefinition dessen, was ein Berater respektive eine Beraterin ist. Das Konzept ist gewissermassen eine Definition am Anfang, auf die dann Ausnahmen folgen. Bei diesem Grundkonzept unterscheidet sich die Mehrheit von der Minderheit; die Frau Bundespräsidentin hat es schon angetönt.",0,DE
335595_2,"Nous avons peu d'informations sur ces fonds de bienfaisance, mais nous pouvons dire qu'ils sont créés davantage par des entreprises qui existent depuis longtemps et qui ont beaucoup de moyens. La responsabilité sociale des fondations de bienfaisance et le rôle social qu'elles jouent dans une société en constante mutation peuvent donc être négligés. Les prestations qu'elles versent pour prévenir des difficultés financières ou des situations de chômage soulèvent régulièrement des discussions avec les autorités, bien que ces prestations soient, par définition, couvertes par la fondation.",0,FR
330427_7,"Die UREK unseres Rates hat an ihrer Sitzung vom 31.[NB]August dieses Jahres die vom Grossen Rat des Kantons Genf beschlossene und am 2.[NB]September 2022 an die Bundesversammlung überwiesene Initiative vorgeprüft. Sie empfiehlt Ihnen einstimmig, dieser keine Folge zu geben, da die verschiedenen Anliegen bereits weitgehend umgesetzt sind.",0,DE
229168_9,"Es besteht aus meiner Sicht tatsächlich die grosse Gefahr, dass wir mit vermeintlicher Transparenz die Risiken, statt sie zu mindern, eher mehren. Egal welches Transportmittel: Was Personen transportiert, ist im Rahmen des menschlichen Ermessens sicher. Wäre es dies nicht, würde es nicht fahren. Darauf muss, darauf kann und darauf darf ich vertrauen. Mehr braucht es nicht. Das ist, ohne eine Unterstellung unter das Öffentlichkeitsgesetz, durch Inspektions- und Kontrollberichte im Rahmen des Möglichen gewährleistet.",0,DE
262828_1,"L'objectif de réduction des émissions de CO2 pour le parc de véhicules neufs est la mesure la plus importante pour réduire les émissions de CO2 dans les transports, un domaine où je vous rappelle que les émissions de CO2, aujourd'hui, sont encore supérieures à celles de 1990. Le parc de véhicules suisse est un des plus polluants d'Europe et aucun progrès n'a été accompli ces dernières années.",1,FR
311125_4,"Der Bundesrat hatte im Jahr 2017 die Motion zur Annahme empfohlen. In der Zwischenzeit hat sich die Situation sehr verändert. Es ist in diesem Sinne auch folgerichtig, jetzt diese Motion abzulehnen. Das entspricht auch dem Entscheid, den Sie bereits in der Herbstsession gefällt haben.",0,DE
332395_4,"A l'heure actuelle, les trois points de chargement des automobiles d'importance nationale sont ceux du Lötschberg, de la Vereina et de la Furka. Le crédit de 40 millions qui nous est proposé est destiné à ces trois points de chargement uniquement. En effet, le chargement des automobiles au Simplon complète une route nationale ouverte et praticable pendant toute l'année. La poursuite de l'exploitation de ce point de chargement constitue donc une tâche cantonale. Quant au chargement des automobiles via le col de l'Oberalp, il a perdu de son importance depuis que le col du Lukmanier reste ouvert en hiver.",0,FR
208724_1,Das ist eine redaktionelle Anpassung. Mit dieser Korrektur schliessen wir uns der Formulierung der Energiestrategie 2050 an.,1,DE
343910_1,"Ich bedanke mich bei der KVF Ihres Rates für die Kompromissbereitschaft. Sie haben gesehen, dass der Ständerat beide Artikel, also Artikel 20 und Artikel 26b, einstimmig genehmigt hat. Die Mehrheit Ihrer Kommission beantragt, hier dem Ständerat zu folgen und diese Differenzen zu eliminieren. Ich unterstütze diesen Antrag und danke Ihnen.",0,DE
307119_1,"Ich muss Sie kurz warnen: Für Nichtkommissionsmitglieder ist die Fahne bei Artikel 10 etwas verwirrend, denn Absatz 1 gemäss Entwurf des Bundesrates wurde von unserem Rat in der ersten Runde der Differenzbereinigung in zwei Teile aufgeteilt - in einen Absatz 0 und einen Absatz 1 -, nachdem bereits der Nationalrat den Entwurf des Bundesrates bei seiner ersten Beratung abgeändert hatte.",0,DE
278303_2,"Nous sortons d'une votation très polarisée sur le sujet, avec l'acceptation du référendum contre la précédente révision de la loi sur la chasse, mais je crois qu'une large majorité s'est exprimée au sein de la population pour dire qu'elle était d'accord sur le fait que la cohabitation devait être favorisée. Cohabitation est vraiment le mot clé, et il est d'ailleurs cité dans cette motion. Cependant, il reste une profonde divergence sur la manière dont nous pouvons atteindre cet objectif de cohabitation. En effet, il y a plusieurs pistes à suivre, cette motion le montre d'ailleurs. Il y a l'accentuation de la régulation du loup - qui était au coeur de la dernière révision de la loi sur la chasse - et les mesures préventives, comme notamment les soutiens aux éleveurs.",0,FR
312484_6,"Je vais détailler quand même un petit peu plus les arguments. Selon la Commission de l'économie et des redevances du Conseil national, l'hôtellerie urbaine serait confrontée aux mêmes défis que les établissements d'hébergement dans les régions rurales et de montagne. Les travaux de fond qui ont été mandatés par le SECO montrent une toute autre image. Les études n'ont pas montré de lacunes dans le financement des investissements dans le secteur de l'hébergement en milieu urbain.",0,FR
236044_9,Voilà encore une raison supplémentaire pour vous recommander d'accepter la proposition de la minorité et de donner suite à l'initiative que mon canton a l'honneur de vous proposer.,0,FR
333578_2,"Il s'agit d'un avantage important par rapport à la promotion par le biais du niveau de qualité II des contributions à la biodiversité. En conséquence, une adaptation simultanée des critères d'évaluation relative à la qualité II n'est plus nécessaire. Au contraire, elle compliquerait à la fois la planification et la mise en oeuvre des projets.",0,FR
244037_8,"Pour toutes ces raisons, nous vous proposons de rejeter le postulat.",0,FR
235786_9,"Mit dieser Überzeugung sollten wir, meine ich, auch die lange, lange dauernden Verhandlungen mit Indonesien abschliessen und dann den zuständigen Organen zur Genehmigung vorlegen - und dann den entsprechenden Entscheid akzeptieren. Der Präsident Indonesiens, Joko Widodo, hat mich letztes Jahr kommen lassen und mir gesagt: Wir sind 280 Millionen Einwohner, wovon 40 Millionen dem Mittelstand angehören, wobei in den nächsten zehn Jahren weitere 40 Millionen dazukommen werden. Das sind diejenigen Indonesierinnen und Indonesier, die Westprodukte und Westqualität nachfragen und einigermassen in der Lage sind, das berappen zu können.",0,DE
297642_8,"L'article 98a alinéa 3 concerne les amendes infligées aux personnes qui avertissent publiquement les usagers des contrôles routiers. La majorité veut l'abroger avec l'argument qu'avertir les automobilistes qu'un contrôle est en cours a un effet préventif appréciable et utile. La proposition défendue par la minorité Töngi, qui vise à maintenir ces amendes, a été rejetée par 13 voix contre 12.",0,FR
246476_2,"Wenn wir nun diesen Weg beschreiten - und ich spüre das als Kommissionsmitglied, dass wir selber an unserer Arbeit zweifeln und zurück in die Kommission gehen möchten -, dann ist das ein Weg, den man künftig beschreiten kann, wenn die Opposition und möglicherweise die Stärke des Kantons vorhanden ist. Ich betrachte es aber als gefährlichen Weg, als sehr gefährlichen Weg. Der ordentliche Weg, gegen den ich nichts habe, wäre, dass Kollege Stöckli einen Einzelantrag mit seinen guten Begründungen stellt, die bei vielen Kolleginnen und Kollegen möglicherweise glaubwürdiger sind als der Entscheid der Kommissionsmehrheit, und dass man darüber abstimmt.",0,DE
248517_2,"Die beiden Initiativen zwingen bei einer Annahme viele Bäuerinnen und Bauern durch den höheren Arbeits- und Kostenaufwand, der vom Markt nicht entschädigt wird, zum Aufhören. Wer soll denn das bezahlen? Wer bezahlt den Mehraufwand, wer finanziert den Tierarzt, wer finanziert die Pflege der Landschaft, wer bezahlt für die Biodiversität? Wer diese Fragen lapidar damit beantwortet, dass der Markt es schon richten werde, die Konsumenten und Konsumentinnen den Aufpreis schon bezahlen würden, macht es sich einfach. Beide Initiativen schränken die Herstellung von landwirtschaftlichen Lebensmitteln stark ein. Die Produktion von landwirtschaftlichen Erzeugnissen wird dadurch massiv verteuert, zudem sind starke Produktionsschwankungen hinzunehmen, da Schädlinge nicht mehr effektiv bekämpft werden können. Die drohenden Ernteausfälle verschlechtern die Versorgungssicherheit bei uns in der Schweiz stark. Damit müssen vermehrt ausländische Produkte importiert werden, was wir doch alle nicht wollen.",0,DE
239895_7,"Concernant ma proposition de minorité à l'alinéa 2, il s'agit de savoir quel est l'échelon le plus approprié pour définir le nombre maximal de médecins autorisés à pratiquer. Si vous estimez que les cantons sont les mieux placés pour savoir combien de médecins il faut sur leur territoire, alors vous pouvez soutenir cette proposition. Cette répartition des rôles correspond aussi à l'esprit du mandat constitutionnel relatif à ce qui concerne les soins médicaux. Les cantons se situent à l'échelon approprié pour évaluer les besoins, car ils sont proches non seulement de la population, mais aussi des fournisseurs de prestations. Sur le terrain, la densité de spécialistes diffère fortement d'un canton à l'autre, et même parfois au sein d'un seul canton. Les cantons sont donc les mieux placés pour tenir compte de ces spécificités et des besoins avérés dans les régions.",0,FR
248581_5,"A mon avis, le lobby paysan ne devrait pas se comporter comme la Mannschaft au foot et croire qu'il gagne tout le temps, parce qu'à la fin il finira par perdre et ainsi défendre très mal ses membres. Penser qu'à cause de l'acceptation de l'article constitutionnel sur la sécurité alimentaire il y a quelque temps, la population est massivement favorable à l'agriculture, c'est faire une erreur de raisonnement. Le même motif qui a conduit la population à soutenir l'article constitutionnel précité conduira les gens non pas à rejeter ces deux initiatives, mais bien plutôt à les accepter, parce qu'ils veulent des produits agricoles de chez nous et une agriculture propre. C'est pour cela que ces deux initiatives seront acceptées en votation.",0,FR
262255_19,"Il y a aussi beaucoup d'entreprises du marché civil que vous connaissez, comme Glas Trösch, respectivement Mecaplex, Constellium, qui fabriquent par exemple des vitres, des pièces de moteur pour des avions militaires. Ces entreprises pourraient aussi être exclues du financement par les banques suisses, puisque l'initiative charge le Conseil fédéral de formuler des conditions analogues pour tout le secteur financier. Elles devraient donc se procurer leur financement à des conditions moins avantageuses à l'étranger. Comme l'a montré M. Bauer, cela va aggraver les problèmes du secteur.",0,FR
